2022-07-18 09:09:49,332 INFO [main]	register protocol:1 success
2022-07-18 09:09:49,415 INFO [main]	register protocol:29 success
2022-07-18 09:09:49,419 INFO [main]	register protocol:4 success
2022-07-18 09:09:49,423 INFO [main]	register protocol:3 success
2022-07-18 09:09:49,424 INFO [main]	register protocol:31 success
2022-07-18 09:09:49,425 INFO [main]	register protocol:28 success
2022-07-18 09:09:49,427 INFO [main]	register protocol:32 success
2022-07-18 09:09:49,429 INFO [main]	register protocol:33 success
2022-07-18 09:09:49,429 INFO [main]	register protocol:30 success
2022-07-18 09:09:49,431 INFO [main]	register load balance factory:RandomLoadBalanceFactory success
2022-07-18 09:09:49,431 INFO [main]	register load balance factory:RoundRobinLoadBalanceFactory success
2022-07-18 09:09:49,432 INFO [main]	register load balance factory:WeightLoadBalanceFactory success
2022-07-18 09:09:49,432 INFO [main]	register load balance factory:FairLoadBalanceFactory success
2022-07-18 09:09:49,438 INFO [main]	create thread:server-work-thread-1
2022-07-18 09:09:49,438 INFO [main]	create thread:server-work-thread-2
2022-07-18 09:09:49,472 INFO [main]	use jdk nio event mode
2022-07-18 09:09:49,499 INFO [main]	create thread:timeout-timer-thread-1
2022-07-18 09:09:49,569 WARN [main]	meta file not exist, name=./data/log/metadata
2022-07-18 09:09:49,572 WARN [main]	meta file not exist, name=./data/snapshot/metadata
2022-07-18 09:09:49,605 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=appendEntries
2022-07-18 09:09:49,607 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=preVote
2022-07-18 09:09:49,607 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=requestVote
2022-07-18 09:09:49,610 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=installSnapshot
2022-07-18 09:09:49,624 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getConfiguration
2022-07-18 09:09:49,625 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getLeader
2022-07-18 09:09:49,627 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=addPeers
2022-07-18 09:09:49,629 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=removePeers
2022-07-18 09:09:49,632 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.example.server.service.ExampleService, methodName=get
